"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-04",,"58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-05",,"54","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-06",,"56","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-07",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-08",,"59","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-09",,"57","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-10",,"63","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-11",,"64","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-12",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-13",,"56","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-14",,"61","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-15",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-16",,"55","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-17",,"56","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-18",,"70","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-19",,"58","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-20",,"58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-21",,"54","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-22",,"52","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-23",,"59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-24",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-25",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-26",,"58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-27",,"62","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-28",,"71","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-29",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-04-30",,"57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-01",,"57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-02",,"65","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-03",,"70","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-04",,"69","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-05",,"60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-06",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-07",,"64","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-08",,"75","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-09",,"70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-10",,"73","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-11",,"60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-12",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-13",,"56","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-14",,"55","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-15",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-16",,"57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-17",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-18",,"63","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-19",,"59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-20",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-21",,"61","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-22",,"61","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-23",,"59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-24",,"58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-25",,"61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-26",,"62","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-05-27",,"61","49"
